վ��,time,PM2.5,PM10,NO2,temperature,humidity
΢վ2,2022/9/30 0:00,3,8,27,22.1,75
΢վ2,2022/9/30 1:00,3,8,27,22,78
΢վ2,2022/9/30 2:00,3,8,26,21.9,79
΢վ2,2022/9/30 3:00,3,8,25,21.9,79
΢վ2,2022/9/30 4:00,3,8,24,21.8,78
΢վ2,2022/9/30 5:00,3,8,26,21.6,79
΢վ2,2022/9/30 6:00,3,8,25,22.4,75
΢վ2,2022/9/30 7:00,3,8,19,24.2,66
΢վ2,2022/9/30 8:00,3,8,13,26.2,59
΢վ2,2022/9/30 9:00,3,8,16,26.4,58
΢վ2,2022/9/30 10:00,3,8,15,27.2,55
΢վ2,2022/9/30 11:00,3,8,18,27.4,53
΢վ2,2022/9/30 12:00,3,8,17,27.7,50
΢վ2,2022/9/30 13:00,3,8,21,28.2,46
΢վ2,2022/9/30 14:00,3,8,23,27.7,49
΢վ2,2022/9/30 15:00,3,8,29,26.7,55
΢վ2,2022/9/30 16:00,8,24,34,25.6,60
΢վ2,2022/9/30 17:00,10,27,33,24,67
΢վ2,2022/9/30 18:00,11,27,33,23.1,71
΢վ2,2022/9/30 19:00,11,25,31,22.8,73
΢վ2,2022/9/30 20:00,12,25,29,22.7,74
΢վ2,2022/9/30 21:00,12,27,28,22.6,76
΢վ2,2022/9/30 22:00,11,24,26,22.5,75
΢վ2,2022/9/30 23:00,12,25,27,22.3,76
΢վ2,2022/10/1 0:00,13,28,27,22,77
΢վ2,2022/10/1 1:00,14,29,26,22,77
΢վ2,2022/10/1 2:00,12,25,22,22.4,74
΢վ2,2022/10/1 3:00,11,24,24,22.3,74
΢վ2,2022/10/1 4:00,14,30,27,21.7,76
΢վ2,2022/10/1 5:00,16,34,27,21.3,78
΢վ2,2022/10/1 6:00,17,41,26,21.7,76
΢վ2,2022/10/1 7:00,13,32,24,23.6,72
΢վ2,2022/10/1 8:00,13,31,22,24,72
΢վ2,2022/10/1 9:00,12,28,21,24.8,69
΢վ2,2022/10/1 10:00,12,27,20,25,68
΢վ2,2022/10/1 11:00,13,29,25,24.7,69
΢վ2,2022/10/1 12:00,11,25,20,25.6,65
΢վ2,2022/10/1 13:00,11,27,23,25.4,65
΢վ2,2022/10/1 14:00,12,28,24,25.1,66
΢վ2,2022/10/1 15:00,12,31,25,24.9,67
΢վ2,2022/10/1 16:00,12,28,26,24.3,70
΢վ2,2022/10/1 17:00,12,26,26,23.6,71
΢վ2,2022/10/1 18:00,12,26,27,23.4,71
΢վ2,2022/10/1 19:00,11,25,26,23.4,72
΢վ2,2022/10/1 20:00,10,23,24,23.7,70
΢վ2,2022/10/1 21:00,13,29,24,23.9,70
΢վ2,2022/10/1 22:00,18,39,28,23.8,72
΢վ2,2022/10/1 23:00,18,38,28,23.7,77
΢վ2,2022/10/2 0:00,20,40,29,23.9,79
΢վ2,2022/10/2 1:00,20,40,29,23.9,81
΢վ2,2022/10/2 2:00,15,31,24,24.4,80
΢վ2,2022/10/2 3:00,10,21,28,24.3,82
΢վ2,2022/10/2 4:00,19,37,29,24.3,83
΢վ2,2022/10/2 5:00,22,57,29,24.3,86
΢վ2,2022/10/2 6:00,16,37,31,24.1,88
΢վ2,2022/10/2 7:00,13,29,29,24.2,88
΢վ2,2022/10/2 8:00,17,36,29,24.4,88
΢վ2,2022/10/2 9:00,44,92,28,25,87
΢վ2,2022/10/2 10:00,59,127,26,25.3,86
΢վ2,2022/10/2 11:00,53,112,24,25.4,86
΢վ2,2022/10/2 12:00,16,35,25,25,84
΢վ2,2022/10/2 13:00,16,35,30,24.5,86
΢վ2,2022/10/2 14:00,15,34,26,24.2,86
΢վ2,2022/10/2 15:00,15,38,27,24.2,85
΢վ2,2022/10/2 16:00,18,42,27,24.5,84
΢վ2,2022/10/2 17:00,22,47,28,24.4,85
΢վ2,2022/10/2 18:00,24,52,29,24.7,84
΢վ2,2022/10/2 19:00,30,61,27,24.4,85
΢վ2,2022/10/2 20:00,24,51,27,24.5,85
΢վ2,2022/10/2 21:00,20,44,25,24.4,85
΢վ2,2022/10/2 22:00,25,52,27,24,85
΢վ2,2022/10/2 23:00,34,70,25,23.8,86
΢վ2,2022/10/3 0:00,38,81,27,23.5,88
΢վ2,2022/10/3 1:00,62,122,28,23.1,89
΢վ2,2022/10/3 2:00,72,140,27,23.2,89
΢վ2,2022/10/3 3:00,69,134,26,23.3,88
΢վ2,2022/10/3 4:00,50,98,25,23.2,88
΢վ2,2022/10/3 5:00,52,101,27,23,89
΢վ2,2022/10/3 6:00,60,122,27,23.1,90
΢վ2,2022/10/3 7:00,41,79,30,23.2,89
΢վ2,2022/10/3 8:00,21,41,38,25.5,83
΢վ2,2022/10/3 9:00,15,31,11,26.7,78
΢վ2,2022/10/3 10:00,24,49,21,26.9,77
΢վ2,2022/10/3 11:00,24,50,28,26.9,78
΢վ2,2022/10/3 12:00,25,51,18,27.9,74
΢վ2,2022/10/3 13:00,20,42,26,24.5,84
΢վ2,2022/10/3 14:00,5,14,36,23.2,83
΢վ2,2022/10/3 15:00,6,16,22,23.1,83
΢վ2,2022/10/3 16:00,7,18,23,22.2,83
΢վ2,2022/10/3 17:00,7,16,23,21.2,82
΢վ2,2022/10/3 18:00,7,18,21,18.5,86
΢վ2,2022/10/3 19:00,4,12,27,16.1,88
΢վ2,2022/10/3 20:00,4,10,25,15.5,86
΢վ2,2022/10/3 21:00,5,12,25,15.4,86
΢վ2,2022/10/3 22:00,9,22,23,14.8,85
΢վ2,2022/10/3 23:00,10,23,25,14.7,85
΢վ2,2022/10/4 0:00,15,36,20,14.1,82
΢վ2,2022/10/4 1:00,17,48,19,13.9,75
΢վ2,2022/10/4 2:00,18,51,20,13.8,70
΢վ2,2022/10/4 3:00,17,49,20,13.7,65
΢վ2,2022/10/4 4:00,16,48,23,13.6,66
΢վ2,2022/10/4 5:00,15,45,21,13.2,64
΢վ2,2022/10/4 6:00,15,45,23,13.1,63
΢վ2,2022/10/4 7:00,14,46,19,13.4,58
΢վ2,2022/10/4 8:00,13,44,21,14,55
΢վ2,2022/10/4 9:00,11,42,19,14.9,51
΢վ2,2022/10/4 10:00,10,37,16,16.3,46
΢վ2,2022/10/4 11:00,10,36,19,15.8,48
΢վ2,2022/10/4 12:00,10,34,21,15.4,47
΢վ2,2022/10/4 13:00,10,34,22,15.2,46
